path,scope,family,format,size_bytes,modified_utc,resident,disposition,rights_boundary,rationale,conflict,local_enhancement,sha256,upstream_commit
vendor/nzmedicines/.github/workflows/regenerate-indexes.yml,upstream,upstream_workflow,yml,14463,2026-05-20T22:08:54+00:00,True,superseded,source-code,Preserved for provenance; replaced by tested first-party generation commands.,Unpinned inline workflow is not suitable for the target CI boundary.,Python 3.14 harness and dedicated CI profiles.,30c51d73ec0b1a5e458bbbf5a899f99e19d5394c56edee9253f3f83d2883aef4,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/document-references/index.txt,upstream,upstream_generated_index,txt,2,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Golden fixture for deterministic index regeneration.,Generated indexes are not authoritative source records.,Deterministic regeneration and negative-control testing target.,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/document-references/nzf-monograph-ibuprofen-adult.json,upstream,upstream_fhir_document_reference,json,500,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved FHIR DocumentReference fixture with immutable provenance.,Referenced NZF content and URLs require independent rights/currentness review.,Local source boundaries prevent referenced content from becoming canonical.,ed0dc02b8d809f5ea29b1139222a76ca37236da97ce7bea2437da72d956561ff,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/document-references/nzf-monograph-paracetamol-adult.json,upstream,upstream_fhir_document_reference,json,504,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved FHIR DocumentReference fixture with immutable provenance.,Referenced NZF content and URLs require independent rights/currentness review.,Local source boundaries prevent referenced content from becoming canonical.,e5d5028140301ab61fec4b0078960faa1e74522bf5189a946d5e743c206157b3,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/document-references/nzf-pil-ibuprofen.json,upstream,upstream_fhir_document_reference,json,1446,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved FHIR DocumentReference fixture with immutable provenance.,Referenced NZF content and URLs require independent rights/currentness review.,Local source boundaries prevent referenced content from becoming canonical.,310e871d53382f8d773878ddf910b492dc2af897ea37d5624203e91a0990e74e,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/document-references/nzf-pil-paracetamol.json,upstream,upstream_fhir_document_reference,json,2134,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved FHIR DocumentReference fixture with immutable provenance.,Referenced NZF content and URLs require independent rights/currentness review.,Local source boundaries prevent referenced content from becoming canonical.,345de31ea02801a3c6e8a6e10c5e5f85d8f1b6f054eae6336910850dc71fb9c9,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/10013261000116103-ibuprofen_200_mg_tablet.json,upstream,upstream_fhir_medication,json,6607,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",0bd581fbc8763bbea07e63acfd93b01fcadf91f71a604f70b3ebd36dcaaa2d45,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/10013271000116100-ibuprofen_400_mg_tablet.json,upstream,upstream_fhir_medication,json,6196,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",e0b8082bc15d284ed59c34c3ed0deb86f201342b1ab9e8bc264d7d8f87db2ad6,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/10013281000116102-ibuprofen_200_mg_tablet_24_tablets.json,upstream,upstream_fhir_medication,json,4516,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",30b1ec61ded5b44405c1677ec11d4b544829140ecf9437de90f8523d8570f186,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/10013291000116104-ibuprofen_400_mg_tablet_100_tablets.json,upstream,upstream_fhir_medication,json,4520,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",8767b5a9db527cfe06e7525caa97fe5eb41b4e3acb43c205a3f01af9e191a2c8,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/10037191000116105-paracetamol.json,upstream,upstream_fhir_medication,json,4625,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",4be16bb9fd4a36c83247fa2792e858d0f0d7d94e8fb0ebe958da7864f901484f,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/10037271000116101-paracetamol_120_mg_5_mL_oral_liquid.json,upstream,upstream_fhir_medication,json,5386,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",2b4efd903f32a62d7ae1a5cee36f492a1991a54de5e691a81fa9cba73397947c,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/10194111000116109-warfarin/10194171000116101-coumadin.json,upstream,upstream_fhir_medication,json,102523,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",307ababf911a359df863ede6f91ce130d3c8180a5d60e7a6a3b441cbd375eb04,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/10194111000116109-warfarin/10429461000116106-marevan.json,upstream,upstream_fhir_medication,json,105052,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",3980a4b7d43b0d272e586848572cfe901075551f36b0e5ff93122cb397178a9e,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/10194111000116109-warfarin/_index.json,upstream,upstream_generated_index,json,11989,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Golden fixture for deterministic index regeneration.,Generated indexes are not authoritative source records.,Deterministic regeneration and negative-control testing target.,eba7a44a3a6dc0b027cc038ec6348e62630b027a011e0a4119b82bcc3f8dc7cb,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/10194111000116109-warfarin/generic.json,upstream,upstream_fhir_medication,json,73379,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",814b3a97c2f933449c0f2ed980e0ba27dc5c1d1db0a4ca900669e2998f716456,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/10527591000116101-paracetamol_500_mg_tablet_100_tablets.json,upstream,upstream_fhir_medication,json,4646,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",79c4cab778c19a27004b6ddb441a01a980fc845fa1c8a3511fe21177343468b5,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/44282231000116104-paracetamol_500_mg_tablet.json,upstream,upstream_fhir_medication,json,7448,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",99a3c061661054ce348f5490377a48db03d2399f2496ccf9874c73510b0b233b,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/50013251000116105-Nurofen_200_mg_tablet_film-coated_24_tablets_blister_pack.json,upstream,upstream_fhir_medication,json,7346,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",ad718712bc732ed6f6999bb66a6efec67bd6bb2cc6d7a910c9f5c8f953fd5df2,6a8ecfae67f15d635750d11d5f446b93d76c1865
vendor/nzmedicines/medications/50013261000116102-Brufen_400_mg_tablet_100_tablets_bottle.json,upstream,upstream_fhir_medication,json,9631,2026-05-20T22:08:54+00:00,True,fixture,source-fixture-review-required,Preserved Medication/Bundle fixture for adapter and projection parity.,Sparse examples cannot replace the complete local NZMT hierarchy or status data.,"Local source corpus supplies hierarchy, Medsafe, subsidy, GTIN, pharmacode, ATC, and SNOMED mappings.",b528365d23cb69b1a54af465c8291e871fe95cd9ec4dca2e1203f26d91d8785c,6a8ecfae67f15d635750d11d5f446b93d76c1865
